flight_path,number_of_flights,mean_departure_delay,probablility_of_dep_delay,max_departure_delay,mean_arrival_delay,probablility_of_arr_delay,max_arrival_delay,flag_Isolation Forest,score_Isolation Forest,flag_Local Outlier Factor,score_Local Outlier Factor,flag_One-Class SVM,score_One-Class SVM,flag_Elliptic Envelope,score_Elliptic Envelope,flag_DBSCAN,score_DBSCAN,votes,consensus
"Boston, MA -> New Orleans, LA",60,14.25,0.3,347.0,3.35,0.35,368.0,False,0.09708853246216925,False,0.0440562110709854,False,0.05704363775079347,False,0.006899634084139574,False,0.0,0,False
"Boston, MA -> New York, NY",1250,23.1992,0.368,1053.0,20.1856,0.4136,1043.0,True,0.6747075502961556,True,0.20154666876663452,True,0.6487356460498925,True,0.08401944892116361,True,0.9999999989999999,5,True
"Boston, MA -> Newark, NJ",375,20.4,0.35733333333333334,614.0,16.042666666666666,0.3893333333333333,590.0,False,0.32433787255585556,False,0.03917914595465274,False,0.11863277874812969,False,0.009359073441003538,False,0.0,0,False
"Boston, MA -> Orlando, FL",325,16.393846153846155,0.39692307692307693,397.0,9.433846153846154,0.36615384615384616,384.0,False,0.18642400624765185,False,0.02603043928394253,False,0.08755223950850413,False,0.00406030534389634,False,0.0,0,False
"Boston, MA -> Philadelphia, PA",568,12.033450704225352,0.3045774647887324,441.0,4.058098591549296,0.30633802816901406,436.0,False,0.3078599141814014,False,0.04374665548643259,False,0.14853266905124773,False,0.014596963092196371,False,0.0,0,False
"Boston, MA -> Phoenix, AZ",119,16.831932773109244,0.5210084033613446,440.0,2.7394957983193278,0.29411764705882354,457.0,False,0.25071101590282074,True,0.15560108870891956,False,0.19379709583312554,False,0.010824526599856943,False,0.0,1,False
"Boston, MA -> Pittsburgh, PA",235,15.821276595744681,0.2978723404255319,371.0,9.83404255319149,0.33191489361702126,369.0,False,0.14277752734525453,False,0.05763955566225526,False,0.056919696549046994,False,0.002969925293969007,False,0.0,0,False
"Boston, MA -> Portland, OR",32,1.6875,0.15625,147.0,-15.9375,0.15625,139.0,False,0.16868400151584426,False,0.04208078989720069,False,0.039905453735719104,False,0.004455025361073943,False,0.0,0,False
"Boston, MA -> Raleigh/Durham, NC",226,18.234513274336283,0.3495575221238938,429.0,13.030973451327434,0.37168141592920356,425.0,False,0.1825880622432682,False,0.03238454676494571,False,0.051318933708682596,False,0.0034400266454546933,False,0.0,0,False
"Boston, MA -> Richmond, VA",144,16.583333333333332,0.3263888888888889,357.0,14.98611111111111,0.3680555555555556,367.0,False,0.1276027679398537,False,0.026684166100983717,False,0.03972948607231033,False,0.003360205098847112,False,0.0,0,False
"Boston, MA -> Rochester, NY",22,43.90909090909091,0.4090909090909091,284.0,32.5,0.36363636363636365,320.0,False,0.35914649292401846,False,0.09575466993342381,False,0.2089567585142576,False,0.03947814955702702,False,0.0,0,False
"Boston, MA -> Salt Lake City, UT",86,23.290697674418606,0.3953488372093023,940.0,6.9186046511627906,0.3023255813953488,949.0,False,0.4047072732563035,False,0.044042002374723783,False,0.18437378218746234,True,0.05515137897510965,False,0.0,1,False
"Boston, MA -> San Diego, CA",85,6.741176470588235,0.27058823529411763,374.0,-8.070588235294117,0.18823529411764706,481.0,False,0.18894803221390094,False,0.0730207559807554,False,0.15161605868816508,False,0.04342878629644225,False,0.0,0,False
"Boston, MA -> San Francisco, CA",374,25.06149732620321,0.44385026737967914,702.0,12.061497326203208,0.37967914438502676,701.0,False,0.40866814602299245,False,0.03986589450902916,False,0.14804773140158103,False,0.015073048580175946,False,0.0,0,False
